block,feature_set,n_features,feature_cols,zone,C,n,auc,auc_ci_lo,auc_ci_hi,ref_auc,delta_vs_ref,ci_strictly_above_ref,ci_strictly_below_ref,candidate_revision
B_sig,"sig{0.50,1.50,20.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_20.00",tz,0.1,68,0.8405594405594405,0.6955884995507637,0.9509108582949308,0.937062937062937,-0.09650349650349643,False,False,False
B_sig,"sig{0.50,1.50,20.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_20.00",tz,1.0,68,0.8391608391608392,0.68097906767548,0.9508196721311475,0.9370629370629371,-0.09790209790209792,False,False,False
B_sig,"sig{0.50,1.50,20.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_20.00",tz,10.0,68,0.8335664335664336,0.6809925698083594,0.9521604711078395,0.9272727272727272,-0.09370629370629369,False,False,False
B_sig,"sig{0.50,1.50,20.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_20.00",pooled,0.1,149,0.7977064220183486,0.717350612943527,0.8684302643465031,0.9011467889908257,-0.10344036697247705,False,False,False
B_sig,"sig{0.50,1.50,20.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_20.00",pooled,1.0,149,0.7922018348623854,0.7055514974112563,0.8681335986418554,0.8986238532110091,-0.10642201834862375,False,False,False
B_sig,"sig{0.50,1.50,20.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_20.00",pooled,10.0,149,0.7931192660550459,0.7036920933472659,0.8707931481083993,0.8963302752293578,-0.10321100917431192,False,False,False
B_sig,"sig{0.50,2.00,3.00}",3,"nuts_std_D_0.50,nuts_std_D_2.00,nuts_std_D_3.00",pz,0.1,81,0.8079561042524006,0.7079267744833783,0.8948774566050398,0.934156378600823,-0.1262002743484224,False,False,False
B_sig,"sig{0.50,2.00,3.00}",3,"nuts_std_D_0.50,nuts_std_D_2.00,nuts_std_D_3.00",pz,1.0,81,0.831275720164609,0.7272681328105856,0.9146891495601173,0.9327846364883402,-0.10150891632373116,False,False,False
B_sig,"sig{0.50,2.00,3.00}",3,"nuts_std_D_0.50,nuts_std_D_2.00,nuts_std_D_3.00",pz,10.0,81,0.8305898491083676,0.7267938346815805,0.9157889805097452,0.9286694101508915,-0.09807956104252391,False,False,False
B_sig,"sig{0.50,2.00,3.00}",3,"nuts_std_D_0.50,nuts_std_D_2.00,nuts_std_D_3.00",tz,0.1,68,0.8377622377622378,0.6653140910452231,0.962797619047619,0.937062937062937,-0.09930069930069918,False,False,False
B_sig,"sig{0.50,2.00,3.00}",3,"nuts_std_D_0.50,nuts_std_D_2.00,nuts_std_D_3.00",tz,1.0,68,0.8335664335664336,0.654067694294699,0.9603921509524959,0.9370629370629371,-0.10349650349650352,False,False,False
B_sig,"sig{0.50,2.00,3.00}",3,"nuts_std_D_0.50,nuts_std_D_2.00,nuts_std_D_3.00",tz,10.0,68,0.8293706293706294,0.6575227130325815,0.9635325199564586,0.9272727272727272,-0.0979020979020978,False,False,False
B_sig,"sig{0.50,2.00,3.00}",3,"nuts_std_D_0.50,nuts_std_D_2.00,nuts_std_D_3.00",pooled,0.1,149,0.7903669724770642,0.7151251370113263,0.8662587109035876,0.9011467889908257,-0.11077981651376145,False,False,False
B_sig,"sig{0.50,2.00,3.00}",3,"nuts_std_D_0.50,nuts_std_D_2.00,nuts_std_D_3.00",pooled,1.0,149,0.7869266055045872,0.6997126301156706,0.8640829378235988,0.8986238532110091,-0.11169724770642198,False,False,False
B_sig,"sig{0.50,2.00,3.00}",3,"nuts_std_D_0.50,nuts_std_D_2.00,nuts_std_D_3.00",pooled,10.0,149,0.7839449541284405,0.6993535336345071,0.8619127484709479,0.8963302752293578,-0.11238532110091737,False,False,False
B_sig,"sig{0.50,2.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_2.00,nuts_std_D_20.00",pz,0.1,81,0.808641975308642,0.7095609963062794,0.8853282977852638,0.934156378600823,-0.125514403292181,False,False,False
B_sig,"sig{0.50,2.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_2.00,nuts_std_D_20.00",pz,1.0,81,0.8182441700960219,0.7249991426611798,0.899557814294607,0.9327846364883402,-0.1145404663923183,False,False,False
B_sig,"sig{0.50,2.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_2.00,nuts_std_D_20.00",pz,10.0,81,0.8216735253772292,0.7228361796331437,0.9050003586758277,0.9286694101508915,-0.1069958847736624,False,False,False
B_sig,"sig{0.50,2.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_2.00,nuts_std_D_20.00",tz,0.1,68,0.8475524475524476,0.7006549364613881,0.9639583333333334,0.937062937062937,-0.08951048951048934,False,False,False
B_sig,"sig{0.50,2.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_2.00,nuts_std_D_20.00",tz,1.0,68,0.834965034965035,0.656232638888889,0.9638037372556659,0.9370629370629371,-0.10209790209790204,False,False,False
B_sig,"sig{0.50,2.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_2.00,nuts_std_D_20.00",tz,10.0,68,0.820979020979021,0.6292918719211824,0.9603466235632183,0.9272727272727272,-0.10629370629370627,False,False,False
B_sig,"sig{0.50,2.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_2.00,nuts_std_D_20.00",pooled,0.1,149,0.7908256880733945,0.7091807813911473,0.8636736638642126,0.9011467889908257,-0.11032110091743119,False,False,False
B_sig,"sig{0.50,2.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_2.00,nuts_std_D_20.00",pooled,1.0,149,0.7862385321100916,0.7017087647065523,0.8576255456643389,0.8986238532110091,-0.11238532110091748,False,False,False
B_sig,"sig{0.50,2.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_2.00,nuts_std_D_20.00",pooled,10.0,149,0.7862385321100918,0.7056601488225831,0.8630861621735515,0.8963302752293578,-0.11009174311926606,False,False,False
B_sig,"sig{0.50,3.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_3.00,nuts_std_D_20.00",pz,0.1,81,0.7880658436213992,0.6829045455342504,0.8752056460488663,0.934156378600823,-0.14609053497942381,False,False,False
B_sig,"sig{0.50,3.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_3.00,nuts_std_D_20.00",pz,1.0,81,0.799039780521262,0.7016447260700134,0.8869428306301944,0.9327846364883402,-0.1337448559670782,False,False,False
B_sig,"sig{0.50,3.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_3.00,nuts_std_D_20.00",pz,10.0,81,0.7969821673525377,0.6977381449033514,0.8857199696854869,0.9286694101508915,-0.13168724279835387,False,False,False
B_sig,"sig{0.50,3.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_3.00,nuts_std_D_20.00",tz,0.1,68,0.8377622377622378,0.6904538690476191,0.9586411863998071,0.937062937062937,-0.09930069930069918,False,False,False
B_sig,"sig{0.50,3.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_3.00,nuts_std_D_20.00",tz,1.0,68,0.8335664335664336,0.6615810359231411,0.96045197740113,0.9370629370629371,-0.10349650349650352,False,False,False
B_sig,"sig{0.50,3.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_3.00,nuts_std_D_20.00",tz,10.0,68,0.8111888111888113,0.6266592576831064,0.9583405172413794,0.9272727272727272,-0.116083916083916,False,False,False
B_sig,"sig{0.50,3.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_3.00,nuts_std_D_20.00",pooled,0.1,149,0.7912844036697249,0.710895921924683,0.8647173079758219,0.9011467889908257,-0.10986238532110082,False,False,False
B_sig,"sig{0.50,3.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_3.00,nuts_std_D_20.00",pooled,1.0,149,0.7850917431192661,0.6989246299233414,0.8611627226373143,0.8986238532110091,-0.11353211009174302,False,False,False
B_sig,"sig{0.50,3.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_3.00,nuts_std_D_20.00",pooled,10.0,149,0.7834862385321101,0.6979683437565877,0.8617048384532086,0.8963302752293578,-0.11284403669724774,False,False,False
B_sig,"sig{0.75,1.00,1.50}",3,"nuts_std_D_0.75,nuts_std_D_1.00,nuts_std_D_1.50",pz,0.1,81,0.8374485596707819,0.7352791116446579,0.9128582949308757,0.934156378600823,-0.0967078189300411,False,False,False
B_sig,"sig{0.75,1.00,1.50}",3,"nuts_std_D_0.75,nuts_std_D_1.00,nuts_std_D_1.50",pz,1.0,81,0.836076817558299,0.7364861208866231,0.9254562818336163,0.9327846364883402,-0.09670781893004121,False,False,False
B_sig,"sig{0.75,1.00,1.50}",3,"nuts_std_D_0.75,nuts_std_D_1.00,nuts_std_D_1.50",pz,10.0,81,0.8271604938271604,0.7276973881243991,0.9109564067172763,0.9286694101508915,-0.10150891632373116,False,False,False
B_sig,"sig{0.75,1.00,1.50}",3,"nuts_std_D_0.75,nuts_std_D_1.00,nuts_std_D_1.50",tz,0.1,68,0.8223776223776225,0.6778309409888357,0.943767361111111,0.937062937062937,-0.11468531468531451,False,False,False
B_sig,"sig{0.75,1.00,1.50}",3,"nuts_std_D_0.75,nuts_std_D_1.00,nuts_std_D_1.50",tz,1.0,68,0.8195804195804196,0.667027972027972,0.9365327380952381,0.9370629370629371,-0.11748251748251748,False,False,False
