block,feature_set,n_features,feature_cols,zone,n,spearman_rho,spearman_p,rho_ci_lo,rho_ci_hi,adc_rho,abs_rho_gt_abs_adc,abs_rho
A_mu,"mu{1.00,3.00}",2,"nuts_D_1.00,nuts_D_3.00",pz,21,-0.549596168658178,0.009856230589289713,-0.8325809001514116,-0.09549496405378197,-0.4801069979082933,True,0.549596168658178
A_mu,"mu{1.00,3.00}",2,"nuts_D_1.00,nuts_D_3.00",tz,8,-0.7979215012278841,0.01762975126971794,-0.9938079899999065,-0.0990961308230879,-0.6137857701752955,True,0.7979215012278841
A_mu,"mu{1.00,3.00}",2,"nuts_D_1.00,nuts_D_3.00",pooled,29,-0.405801901240395,0.02895203878847547,-0.7189233826442978,-0.015531841008374476,-0.5462518568421153,False,0.405801901240395
A_mu,"mu{1.00,20.00}",2,"nuts_D_1.00,nuts_D_20.00",pz,21,-0.49414521422140134,0.02279257365241038,-0.805236019165711,0.055453831296171124,-0.4801069979082933,True,0.49414521422140134
A_mu,"mu{1.00,20.00}",2,"nuts_D_1.00,nuts_D_20.00",tz,8,0.8347486474384018,0.009929687100611161,0.2894736842105264,0.9865379942775704,-0.6137857701752955,True,0.8347486474384018
A_mu,"mu{1.00,20.00}",2,"nuts_D_1.00,nuts_D_20.00",pooled,29,0.062191862259064375,0.748595468094403,-0.3110686192233915,0.4376255585922949,-0.5462518568421153,False,0.062191862259064375
A_mu,"mu{1.50,2.00}",2,"nuts_D_1.50,nuts_D_2.00",pz,21,0.24566878547938983,0.2830832857452494,-0.27167578276272486,0.6981749619693848,-0.4801069979082933,False,0.24566878547938983
A_mu,"mu{1.50,2.00}",2,"nuts_D_1.50,nuts_D_2.00",tz,8,-0.3068928850876477,0.4596851913195994,-0.9486832980505137,0.7650182681080061,-0.6137857701752955,False,0.3068928850876477
A_mu,"mu{1.50,2.00}",2,"nuts_D_1.50,nuts_D_2.00",pooled,29,0.3065540543853048,0.10578254781156221,-0.14292788453267724,0.6696446576610027,-0.5462518568421153,False,0.3065540543853048
A_mu,"mu{1.50,3.00}",2,"nuts_D_1.50,nuts_D_3.00",pz,21,-0.4836165519865703,0.026339826984530117,-0.8543311406468889,0.01907953104845566,-0.4801069979082933,True,0.4836165519865703
A_mu,"mu{1.50,3.00}",2,"nuts_D_1.50,nuts_D_3.00",tz,8,-0.27006573887713003,0.5177097259590575,-0.8405240584660869,0.7157807178704791,-0.6137857701752955,False,0.27006573887713003
A_mu,"mu{1.50,3.00}",2,"nuts_D_1.50,nuts_D_3.00",pooled,29,0.08214508473384752,0.671840339169775,-0.3248887737611414,0.5210229895263242,-0.5462518568421153,False,0.08214508473384752
A_mu,"mu{1.50,20.00}",2,"nuts_D_1.50,nuts_D_20.00",pz,21,-0.3165617778605852,0.16208226933909442,-0.7286150664665471,0.23683815477782594,-0.4801069979082933,False,0.3165617778605852
A_mu,"mu{1.50,20.00}",2,"nuts_D_1.50,nuts_D_20.00",tz,8,0.6997157779998369,0.053362469677282115,0.10064684747951963,0.9661734662752403,-0.6137857701752955,True,0.6997157779998369
A_mu,"mu{1.50,20.00}",2,"nuts_D_1.50,nuts_D_20.00",pooled,29,0.12490199003695425,0.5185599375955956,-0.24963411267260607,0.5015228573407873,-0.5462518568421153,False,0.12490199003695425
A_mu,"mu{2.00,3.00}",2,"nuts_D_2.00,nuts_D_3.00",pz,21,0.21689044203751848,0.34498363311090463,-0.3046048283602744,0.6480593750063716,-0.4801069979082933,False,0.21689044203751848
A_mu,"mu{2.00,3.00}",2,"nuts_D_2.00,nuts_D_3.00",tz,8,-0.687440062596331,0.059561396500617064,-0.9813067629253164,0.11111111111111113,-0.6137857701752955,True,0.687440062596331
A_mu,"mu{2.00,3.00}",2,"nuts_D_2.00,nuts_D_3.00",pooled,29,0.29696614228703233,0.1177246437019096,-0.13624579996135075,0.6365179040469228,-0.5462518568421153,False,0.29696614228703233
A_mu,"mu{2.00,20.00}",2,"nuts_D_2.00,nuts_D_20.00",pz,21,0.265322288317741,0.24507728668026582,-0.20306092386914978,0.6847751103505416,-0.4801069979082933,False,0.265322288317741
A_mu,"mu{2.00,20.00}",2,"nuts_D_2.00,nuts_D_20.00",tz,8,0.8347486474384018,0.009929687100611161,0.34218016847506477,0.992180999766062,-0.6137857701752955,True,0.8347486474384018
A_mu,"mu{2.00,20.00}",2,"nuts_D_2.00,nuts_D_20.00",pooled,29,0.5089367394866767,0.004810752345623932,0.15340276610787668,0.772814342201071,-0.5462518568421153,False,0.5089367394866767
A_mu,"mu{3.00,20.00}",2,"nuts_D_3.00,nuts_D_20.00",pz,21,-0.5502980794738332,0.009743427284398668,-0.8449847092425826,-0.06645750130367428,-0.4801069979082933,True,0.5502980794738332
A_mu,"mu{3.00,20.00}",2,"nuts_D_3.00,nuts_D_20.00",tz,8,0.687440062596331,0.059561396500617064,-0.1496888670849789,0.9808408393068168,-0.6137857701752955,True,0.687440062596331
A_mu,"mu{3.00,20.00}",2,"nuts_D_3.00,nuts_D_20.00",pooled,29,0.1059852985998222,0.5842497411198512,-0.28815717915642836,0.4704305082085776,-0.5462518568421153,False,0.1059852985998222
A_mu,"mu{0.25,0.50,0.75}",3,"nuts_D_0.25,nuts_D_0.50,nuts_D_0.75",pz,21,0.2948025425752678,0.19453121900914044,-0.17939822536808372,0.6442886374339901,-0.4801069979082933,False,0.2948025425752678
A_mu,"mu{0.25,0.50,0.75}",3,"nuts_D_0.25,nuts_D_0.50,nuts_D_0.75",tz,8,-0.049102861614023635,0.9080800167647649,-0.8260916854664659,0.6842105263157896,-0.6137857701752955,False,0.049102861614023635
A_mu,"mu{0.25,0.50,0.75}",3,"nuts_D_0.25,nuts_D_0.50,nuts_D_0.75",pooled,29,0.4641067721082678,0.011209312830783141,0.12412668349805166,0.7316593327424032,-0.5462518568421153,False,0.4641067721082678
A_mu,"mu{0.25,0.50,1.00}",3,"nuts_D_0.25,nuts_D_0.50,nuts_D_1.00",pz,21,0.2554955368985654,0.26364654715029523,-0.22233779076335286,0.677563989090989,-0.4801069979082933,False,0.2554955368985654
A_mu,"mu{0.25,0.50,1.00}",3,"nuts_D_0.25,nuts_D_0.50,nuts_D_1.00",tz,8,0.07365429242103547,0.8623968528479391,-0.795024455056957,0.9230893072059951,-0.6137857701752955,False,0.07365429242103547
A_mu,"mu{0.25,0.50,1.00}",3,"nuts_D_0.25,nuts_D_0.50,nuts_D_1.00",pooled,29,0.4480405410246763,0.014792760812690953,0.11560879027005039,0.7027096579672195,-0.5462518568421153,False,0.4480405410246763
A_mu,"mu{0.25,0.50,1.50}",3,"nuts_D_0.25,nuts_D_0.50,nuts_D_1.50",pz,21,0.13968025231542452,0.5459282601193836,-0.3659077107948543,0.6448206983797151,-0.4801069979082933,False,0.13968025231542452
